timestamp,ear_left,ear_right,ear_avg,perclos,status
12:38:53.600,0.1787,0.1473,0.1630,0.6186,drowsy
12:38:53.638,0.2198,0.1920,0.2059,0.6224,drowsy
12:38:53.673,0.2425,0.2276,0.2351,0.6263,drowsy
12:38:53.697,0.2766,0.2425,0.2596,0.6200,drowsy
12:38:53.735,0.2469,0.2785,0.2627,0.6139,drowsy
12:38:53.787,0.2686,0.2325,0.2505,0.6078,drowsy
12:38:53.811,0.2606,0.2824,0.2715,0.6019,drowsy
12:38:53.842,0.2815,0.2619,0.2717,0.5962,drowsy
12:38:53.876,0.2193,0.2766,0.2479,0.6000,drowsy
12:38:53.908,0.2774,0.2442,0.2608,0.5943,drowsy
12:38:53.940,0.2640,0.2185,0.2412,0.5981,drowsy
12:38:53.970,0.2774,0.2571,0.2672,0.5926,drowsy
12:38:54.003,0.2773,0.2316,0.2545,0.5872,drowsy
12:38:54.033,0.2437,0.2425,0.2431,0.5909,drowsy
12:38:54.064,0.2663,0.2571,0.2617,0.5856,drowsy
12:38:54.101,0.2537,0.2339,0.2438,0.5893,drowsy
12:38:54.146,0.2546,0.2807,0.2677,0.5841,drowsy
12:38:54.182,0.2537,0.2596,0.2566,0.5789,drowsy
12:38:54.209,0.2608,0.2380,0.2494,0.5826,drowsy
12:38:54.241,0.2233,0.2616,0.2425,0.5862,drowsy
